,13a ORN left,13a ORN right,13a uPN left,13a uPN right,1a ORN left,1a ORN right,1a uPN left,1a uPN right,22c ORN left,22c ORN right,22c uPN left,22c uPN right,24a ORN left,24a ORN right,24a uPN left,24a uPN right,30a ORN left,30a ORN right,30a uPN left,30a uPN right,33a ORN left,33a ORN right,33a uPN left,33a uPN right,35a ORN left,35a ORN right,35a uPN bilateral left,35a uPN bilateral right,42a ORN left,42a ORN right,42a uPN left,42a uPN right,42b ORN left,42b ORN right,42b uPN left,42b uPN right,45a ORN left,45a ORN right,45a uPN left,45a uPN right,45b ORN left,45b ORN right,45b uPN left,45b uPN right,47a & 33b ORN left,47a & 33b ORN right,47a & 33b uPN left,47a & 33b uPN right,49a ORN left,49a ORN right,49a uPN left,49a uPN right,59a ORN left,59a ORN right,59a uPN left,59a uPN right,63a ORN left,63a ORN right,63a uPN left,63a uPN right,67b ORN left,67b ORN right,67b uPN left,67b uPN right,74a ORN left,74a ORN right,74a uPN left,74a uPN right,82a ORN left,82a ORN right,82a uPN left,82a uPN right,83a ORN left,83a ORN right,83a uPN left,83a uPN right,85c ORN left,85c ORN right,85c uPN left,85c uPN right,94a & 94b ORN left,94a & 94b ORN right,94a & 94b uPN left,94a & 94b uPN right,AL associated neuron TODO 6882234,Al frag,Al frag,AL frag,AL frag,AL frag,AL Frag,AL Frag,AL Frag,AL Frag,AN-L-Sens-B3-ACp-09 (gustatory pheromone neuron),Another Upper Comissure PN right,Axon upstairs right,backwards handlebar right,BAlc_post dev deviant neuron,BAmas12 SEZ descending left; Another SOG PN left,BAmas12_dor Hook right,Broad D1 left,Broad D1 right,Broad D2 left,Broad D2 right,Broad T1 left,Broad T1 right,Broad T2 left,Broad T2 right,Broad T3 left,Broad T3 right,Choosy 1 left,Choosy 1 right,Choosy 2 left,Choosy 2 right,clamp left,clamp right,Columbus of GPhN right,CSD left,CSD right,cypress left,cypress right,DPLc_post_med descending right,DPMpl12 Giraffe 1 right ,DPMpl12 twig left,fork of GPhN (right),fragment_10627049,fragment_11051128,fragment_11068781,fragment_14794795,FRAGMENT_15499318,Fragment_15579887,Fragment_15673670,fragment_16276712,fragment_16287625,fragment_16309651,fragment_16313774,fragment_16353140,fragment_16453020,fragment_16502538,fragment_16540858,FRAGMENT_16612248,fragment_16622937,fragment_16686968,fragment_16700925,fragment_16702007,fragment_16717869,fragment_16763578,fragment_16786962,fragment_16792625,fragment_16798250,fragment_16800484,fragment_16800749,Fragment_16813936,Fragment_16818396,fragment_16862399,fragment_16871949,fragment_17273117,fragment_3563149,fragment_3802494,FRAGMENT_4248156,fragment_4325686,fragment_4358675,fragment_4426696,FRAGMENT_4659068,fragment_4678832,fragment_4678846,fragment_5225762,fragment_5250632,fragment_5315429,fragment_5325970,fragment_5844101,fragment_6090920,fragment_6360085,Fragment_6603236,Fragment_7115469,fragment_7431900,FRAGMENT_7468375,FRAGMENT_7497470,Fragment_7535357,fragment_7621027,fragment_7625579,fragment_7632587,fragment_7638181,FRAGMENT_7654271,Fragment_7677047,fragment_7685635,FRAGMENT_7696411,fragment_7744086,fragment_7778167,Fragment_8398937,fragment_9547965,Giant-step left,Giant-step right,ginkgo 1 left,ginkgo 1 right,ginkgo 2 left,ginkgo 2 right,Glia?,Keystone left,Keystone right,KS LN 1 left,KS LN 1 right,KS LN 4a left,KS LN 4a right,L left (PN to LH),L right (PN to LH),Ladder (olfactory) ant.,Ladder (olfactory) post.,lAL-1 (octopaminergic) left,lAL-1 (octopaminergic) right,Maxillary Nerve LN 1 left,Maxillary Nerve LN 1 right,Maxillary Nerve LN 2 left,Maxillary Nerve LN 2 right,mPN BAmd1-g left,mPN BAmd1-g right,mPN cobra left,mPN cobra right,mPN D left,mPN D right,mPN iACT A1 left,mPN iACT A1 right,mPN iACT A2 left,mPN iACT A2 right,mPN iACT A3 left,mPN iACT A3 right,mPN iACT B1 left,mPN iACT B1 right,mPN iACT B2 left,mPN iACT B2 right,mPN iACT B3 left,mPN iACT B3 right,mPN iACT bilateral LOWER left,mPN iACT bilateral LOWER right,mPN iACT bilateral UPPER left,mPN iACT bilateral UPPER right,mPN iACT C1 left,mPN iACT C1 right,mPN iACT C2 left,mPN iACT C2 right,mPN iACT VUM left,mPN iACT VUM right,mPN seahorse left,mPN seahorse right,neuron,neuron 15465969,neuron 17273185,Neuron 17273204,Neuron 17461788,Neuron 17524324,neuron 17709524,Neuron 18170513,neuron 18414030,Neuron 20053446,Neuron 20053456,neuron 4654589,neuron 6357319,no way out 18818959,non-olfactory PN right,Picky 0 left,Picky 0 right,Picky 1 left,Picky 1 right,Picky 2 left,Picky 2 right,Picky 3 left,Picky 3 right,Picky 4 left,Picky 4 right,SOG IN left; PN into SOG very minor AL connectivity left,SOG IN right,SOG LN 1 left,spruce left,spruce right,Suckerfish PN right,suckerfish-like 1 (left) ,suckerfish-like 1 (right),unresolvable fragment_16862460,unresolvable fragment_6785619,unresolvable fragment_7876119,ventral LN left,ventral LN right,vine left,vine right
13a ORN left,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,43,0,34,0,36,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,8,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,36,0,1,0
13a ORN right,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,16,0,31,0,40,0,34,0,12,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,8,13,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,26,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,1
13a uPN left,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,15,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
13a uPN right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,18,0,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1a ORN left,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,18,0,5,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,27,12,1,0,0,0,0,0,37,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,8,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,0
1a ORN right,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,3,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,22,0,0,0,0,0,0,0,46,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11
1a uPN left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a uPN right,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22c ORN left,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,16,0,39,0,40,0,22,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,11,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22c ORN right,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,32,0,29,0,36,0,55,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,18,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
